,Start,Duration,End
892,132722,57,132779
893,132948,53,133001
894,133011,14,133025
895,133125,195,133320
896,133325,19,133344
897,133346,72,133418
898,133480,27,133507
899,133613,97,133710
900,133731,14,133745
901,134224,5,134229
902,134303,170,134473
903,134777,76,134853
904,134968,20,134988
905,135131,61,135192
906,135472,51,135523
907,135544,18,135562
908,135635,25,135660
909,135700,29,135729
910,135770,38,135808
911,135815,80,135895
912,136022,105,136127
913,136137,61,136198
914,136203,62,136265
915,136351,34,136385
916,136428,18,136446
917,136512,20,136532
918,136619,110,136729
919,137079,64,137143
920,137368,59,137427
921,137581,129,137710
922,137736,25,137761
923,137774,9,137783
924,137788,99,137887
925,138283,75,138358
926,138475,108,138583
927,138836,38,138874
928,138911,17,138928
929,138951,19,138970
930,139038,23,139061
931,139487,177,139664
932,139936,23,139959
933,140027,14,140041
934,140078,68,140146
935,140335,3,140338
936,140343,38,140381
937,140414,74,140488
938,140536,2,140538
939,140540,3,140543
940,140712,14,140726
941,140760,106,140866
942,140982,42,141024
943,141071,5,141076
944,141094,4,141098
945,141157,1,141158
946,141189,108,141297
947,141541,20,141561
948,141590,19,141609
949,141621,43,141664
950,141752,88,141840
951,142128,47,142175
952,142258,46,142304
953,142352,132,142484
954,142532,79,142611
955,142690,21,142711
956,142808,32,142840
957,143168,63,143231
958,143350,26,143376
959,143378,20,143398
960,143462,24,143486
961,143501,39,143540
962,143605,7,143612
963,143751,25,143776
964,143916,60,143976
965,144315,50,144365
966,144456,12,144468
967,144495,34,144529
968,144634,32,144666
969,144779,17,144796
970,144799,25,144824
971,144847,10,144857
972,144888,17,144905
973,145081,43,145124
974,145431,34,145465
975,145555,32,145587
976,145673,17,145690
977,145700,14,145714
978,145823,26,145849
979,145887,74,145961
980,146296,2,146298
981,146388,50,146438
982,146528,11,146539
983,146604,90,146694
984,146724,24,146748
985,146779,51,146830
986,147051,1,147052
987,147187,10,147197
988,147225,45,147270
989,147349,49,147398
990,147406,5,147411
991,147513,2,147515
992,147519,12,147531
993,147566,133,147699
994,147720,32,147752
995,147840,14,147854
996,147945,83,148028
997,148037,2,148039
998,148048,1,148049
999,148071,27,148098
1000,148126,42,148168
1001,148397,30,148427
1002,148491,17,148508
1003,148509,7,148516
1004,148565,37,148602
1005,148975,32,149007
1006,149035,106,149141
1007,149142,71,149213
1008,149283,3,149286
1009,149638,58,149696
1010,149706,4,149710
1011,149716,32,149748
1012,149805,18,149823
1013,149829,2,149831
1014,149948,99,150047
1015,150049,4,150053
1016,150077,131,150208
1017,150369,47,150416
1018,150459,12,150471
1019,150622,84,150706
1020,150879,16,150895
1021,150897,4,150901
1022,151002,46,151048
1023,151290,68,151358
1024,151403,19,151422
1025,151684,67,151751
1026,151940,45,151985
1027,152054,164,152218
1028,152236,1,152237
1029,152436,8,152444
1030,152457,39,152496
1031,152683,167,152850
1032,152883,85,152968
1033,153044,18,153062
1034,153153,27,153180
1035,153235,114,153349
1036,153363,22,153385
1037,153408,19,153427
1038,153495,1,153496
1039,153718,96,153814
1040,154123,34,154157
1041,154316,8,154324
1042,154696,77,154773
1043,154955,85,155040
1044,155074,6,155080
1045,155172,8,155180
1046,155239,10,155249
1047,155321,6,155327
1048,155455,61,155516
1049,155589,38,155627
1050,155650,42,155692
1051,155883,58,155941
1052,155961,7,155968
1053,156100,64,156164
1054,156183,65,156248
1055,156260,36,156296
1056,156303,23,156326
1057,156367,33,156400
1058,156410,10,156420
1059,156485,38,156523
1060,156546,86,156632
1061,156764,70,156834
1062,157431,144,157575
1063,157712,29,157741
1064,157782,8,157790
1065,157810,26,157836
1066,158171,23,158194
1067,158330,15,158345
1068,158487,122,158609
1069,158652,45,158697
1070,158794,38,158832
1071,158882,41,158923
1072,158938,8,158946
1073,159242,31,159273
1074,159418,127,159545
1075,159767,34,159801
1076,159964,79,160043
1077,160474,81,160555
1078,160864,74,160938
1079,161029,13,161042
1080,161138,7,161145
1081,161279,102,161381
1082,161401,10,161411
1083,161427,2,161429
1084,161498,65,161563
1085,161586,17,161603
1086,161765,16,161781
1087,161836,24,161860
1088,161881,37,161918
1089,161927,26,161953
1090,161986,79,162065
1091,162328,119,162447
1092,162490,69,162559
1093,162669,14,162683
1094,162692,10,162702
1095,162848,38,162886
1096,162998,68,163066
1097,163067,46,163113
1098,163125,38,163163
1099,163171,29,163200
1100,163233,124,163357
1101,163372,197,163569
1102,163638,11,163649
1103,163744,35,163779
1104,163850,5,163855
1105,164091,16,164107
1106,164135,13,164148
1107,164222,54,164276
1108,164312,13,164325
1109,164328,40,164368
1110,164427,13,164440
1111,164457,33,164490
1112,164677,15,164692
1113,164767,12,164779
1114,164843,3,164846
1115,164858,19,164877
1116,164894,61,164955
1117,165003,32,165035
1118,165082,55,165137
1119,165182,30,165212
1120,165288,49,165337
1121,165685,48,165733
1122,165807,47,165854
1123,166103,46,166149
1124,166345,61,166406
1125,166536,12,166548
1126,166596,19,166615
1127,166722,10,166732
1128,167199,94,167293
1129,167536,3,167539
1130,167626,39,167665
1131,167797,90,167887
1132,168054,28,168082
1133,168130,49,168179
