,Start,Duration,End
636,79402,5,79407
637,79624,4,79628
638,79669,13,79682
639,79690,47,79737
640,79881,17,79898
641,79955,1,79956
642,79996,13,80009
643,80041,62,80103
644,80144,14,80158
645,80262,13,80275
646,80279,8,80287
647,80758,13,80771
648,80918,11,80929
649,80939,10,80949
650,81090,3,81093
651,81168,11,81179
652,81293,44,81337
653,81405,6,81411
654,81624,6,81630
655,81768,15,81783
656,81837,1,81838
657,81862,8,81870
658,81999,10,82009
659,82070,81,82151
660,82169,6,82175
661,82304,18,82322
662,82335,6,82341
663,82371,7,82378
664,82488,23,82511
665,82718,16,82734
666,82813,69,82882
667,82908,36,82944
668,83447,9,83456
669,83626,61,83687
670,83772,13,83785
671,84041,3,84044
672,84138,2,84140
673,84207,39,84246
674,84328,2,84330
675,84346,37,84383
676,84392,2,84394
677,84527,7,84534
678,84748,23,84771
679,84896,13,84909
680,85104,10,85114
681,85382,8,85390
682,85445,7,85452
683,85550,39,85589
684,85981,4,85985
685,86341,46,86387
686,86484,27,86511
687,86534,29,86563
688,86626,7,86633
689,86680,17,86697
690,86721,40,86761
691,86797,29,86826
692,87218,16,87234
693,87330,1,87331
694,87382,23,87405
695,87433,28,87461
696,87535,16,87551
697,87639,2,87641
698,87683,4,87687
699,87741,7,87748
700,87818,6,87824
701,87932,5,87937
702,87953,1,87954
703,88047,70,88117
704,88283,87,88370
705,88492,22,88514
706,88551,43,88594
707,88635,10,88645
708,88727,25,88752
709,88953,1,88954
710,89004,4,89008
711,89018,37,89055
712,89240,8,89248
713,89284,59,89343
714,89502,5,89507
715,89561,13,89574
716,89598,2,89600
717,89759,23,89782
718,90144,7,90151
719,90215,6,90221
720,90242,6,90248
721,90315,4,90319
722,90376,4,90380
723,90405,5,90410
724,90522,54,90576
725,90594,49,90643
726,90708,72,90780
727,90797,9,90806
728,90833,16,90849
729,90868,3,90871
730,90920,44,90964
731,91002,105,91107
732,91171,1,91172
733,91175,6,91181
734,91241,42,91283
735,91467,9,91476
736,91477,39,91516
737,91532,4,91536
738,91556,12,91568
739,91704,12,91716
740,91773,12,91785
741,91808,10,91818
742,91832,16,91848
743,91915,13,91928
744,92071,5,92076
745,92132,18,92150
746,92197,9,92206
747,92381,4,92385
748,92417,10,92427
749,92487,50,92537
750,92608,65,92673
751,92707,13,92720
752,92745,41,92786
753,92811,8,92819
754,92900,7,92907
755,92945,3,92948
756,93048,17,93065
757,93108,95,93203
758,93255,3,93258
759,93306,45,93351
