,x,SuccessRate,SuccessRateUnmixed,PER,RedundancyUsedMin,RedundancyUsed,RedundancyUsedMax,Lost,FaultsUnmixed,WorseDiffRngmixedRlnc,WorseDiffRepeatmixedRlnc
53,0.5358181818181819,1.0,0.63,0.63,0.29383333333333334,0.0,42.05,160.0,17.63,0.37,0.37
54,0.5459090909090909,1.0,0.67,0.67,0.2865,0.0,45.3,145.0,17.19,0.32999999999999996,0.32999999999999996
55,0.556,1.0,0.54,0.54,0.30516666666666664,0.0,46.35,135.0,18.31,0.45999999999999996,0.45999999999999996
56,0.5660909090909091,1.0,0.63,0.63,0.2971666666666667,0.0,45.95,150.0,17.83,0.37,0.37
57,0.5761818181818182,1.0,0.54,0.54,0.30666666666666664,0.0,46.15,110.0,18.4,0.45999999999999996,0.45999999999999996
58,0.5862727272727273,1.0,0.54,0.54,0.301,0.0,46.15,115.0,18.06,0.45999999999999996,0.45999999999999996
59,0.5963636363636364,1.0,0.58,0.58,0.30883333333333335,0.0,46.10000000000001,160.0,18.53,0.42000000000000004,0.42000000000000004
60,0.6064545454545455,1.0,0.58,0.58,0.29866666666666664,5.0,45.8,150.0,17.92,0.42000000000000004,0.42000000000000004
61,0.6165454545454546,1.0,0.52,0.52,0.28983333333333333,0.0,43.45,110.0,17.39,0.48,0.48
62,0.6266363636363637,1.0,0.57,0.57,0.30233333333333334,0.0,45.7,120.0,18.14,0.43000000000000005,0.43000000000000005
63,0.6367272727272728,1.0,0.56,0.56,0.29866666666666664,0.0,43.0,105.0,17.92,0.43999999999999995,0.43999999999999995
64,0.6468181818181818,1.0,0.54,0.54,0.31283333333333335,5.0,47.699999999999996,145.0,18.77,0.45999999999999996,0.45999999999999996
65,0.6569090909090909,1.0,0.58,0.58,0.30433333333333334,0.0,45.95,125.0,18.26,0.42000000000000004,0.42000000000000004
66,0.667,1.0,0.49,0.49,0.30683333333333335,0.0,42.6,160.0,18.41,0.51,0.51
67,0.6770909090909091,1.0,0.55,0.55,0.298,10.0,46.35,140.0,17.88,0.44999999999999996,0.44999999999999996
68,0.6871818181818182,1.0,0.5,0.5,0.30216666666666664,0.0,45.25000000000001,115.0,18.13,0.5,0.5
69,0.6972727272727273,1.0,0.6,0.6,0.2976666666666667,5.0,42.75000000000001,120.0,17.86,0.4,0.4
